"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","422.35","400.45","422.96","398.09","","5.60%"
"01/12/2022","399.94","418.08","421.61","395.28","","-3.86%"
"01/11/2022","415.99","386.56","417.36","374.56","","7.65%"
"01/10/2022","386.42","364.88","388.96","355.35","","5.87%"
"01/09/2022","365.01","404.08","417.10","364.83","","-9.75%"
"01/08/2022","404.43","420.84","435.99","404.15","","-3.78%"
"01/07/2022","420.33","394.17","421.04","383.79","","6.70%"
"01/06/2022","393.93","430.84","433.92","383.45","","-8.55%"
"01/05/2022","430.76","431.03","441.99","401.13","","-0.13%"
"01/04/2022","431.32","468.51","474.36","429.59","","-8.04%"
"01/03/2022","469.01","460.61","477.35","430.94","","1.92%"
"01/02/2022","460.19","472.77","491.88","438.80","","-2.66%"
"01/01/2022","472.77","496.77","500.97","453.79","","-4.85%"
"01/12/2021","496.89","478.53","499.25","474.12","","4.01%"
"01/11/2021","477.74","491.05","500.17","477.74","","-2.62%"
"01/10/2021","490.61","467.60","492.95","462.42","","4.92%"
"01/09/2021","467.61","488.29","493.58","467.61","","-4.23%"
"01/08/2021","488.25","477.07","489.62","472.47","","2.34%"
"01/07/2021","477.07","474.52","481.49","464.54","","0.53%"
"01/06/2021","474.54","469.55","476.61","463.40","","1.09%"
"01/05/2021","469.43","462.82","470.38","450.11","","1.41%"
"01/04/2021","462.90","444.15","468.50","444.11","","4.18%"
"01/03/2021","444.32","433.73","449.49","426.04","","2.57%"
"01/02/2021","433.19","423.75","452.65","423.63","","2.23%"
"01/01/2021","423.74","425.31","441.91","421.16","","-0.50%"
"01/12/2020","425.89","407.60","426.14","407.57","","4.53%"
"01/11/2020","407.42","363.25","411.49","363.22","","12.26%"
"01/10/2020","362.94","372.57","390.85","360.62","","-2.56%"
"01/09/2020","372.46","385.31","392.00","359.57","","-3.37%"
"01/08/2020","385.44","363.15","387.47","362.93","","6.05%"
"01/07/2020","363.44","346.24","368.09","345.26","","5.01%"
"01/06/2020","346.11","336.22","360.13","333.31","","2.98%"
"01/05/2020","336.10","322.17","338.65","307.56","","4.22%"
"01/04/2020","322.48","292.40","326.13","278.71","","10.50%"
"01/03/2020","291.84","338.24","354.87","250.35","","-13.76%"
"01/02/2020","338.41","368.15","383.39","330.87","","-8.22%"
"01/01/2020","368.72","372.63","382.60","368.05","","-1.21%"
"01/12/2019","373.24","361.10","374.93","355.07","","3.44%"
"01/11/2019","360.82","352.52","362.85","352.52","","2.27%"
"01/10/2019","352.81","343.29","354.05","332.44","","2.70%"
"01/09/2019","343.53","336.69","348.93","333.82","","1.99%"
"01/08/2019","336.82","344.99","347.33","326.92","","-2.55%"
"01/07/2019","345.62","344.83","351.15","343.45","","0.14%"
"01/06/2019","345.12","325.01","346.26","324.25","","6.28%"
"01/05/2019","324.73","346.30","347.28","324.16","","-6.20%"
"01/04/2019","346.18","335.45","346.46","335.45","","3.20%"
"01/03/2019","335.45","332.03","339.24","325.00","","1.02%"
"01/02/2019","332.07","324.14","334.81","320.51","","2.45%"
"01/01/2019","324.14","299.17","324.34","295.38","","7.70%"
"01/12/2018","300.96","324.73","329.30","287.64","","-7.14%"
"01/11/2018","324.09","319.74","331.24","313.23","","1.30%"
"01/10/2018","319.94","346.00","347.72","310.31","","-7.55%"
"01/09/2018","346.08","344.66","349.04","337.33","","0.30%"
"01/08/2018","345.06","343.27","348.20","334.27","","0.52%"
"01/07/2018","343.29","333.59","345.60","330.25","","2.91%"
"01/06/2018","333.59","336.16","344.53","329.53","","-0.76%"
"01/05/2018","336.16","337.04","344.92","331.58","","-0.26%"
"01/04/2018","337.05","334.69","343.24","328.14","","0.77%"
"01/03/2018","334.46","342.03","350.17","329.78","","-2.40%"
"01/02/2018","342.68","358.24","358.92","325.62","","-4.32%"
"01/01/2018","358.15","339.63","364.04","339.23","","5.55%"
"01/12/2017","339.33","333.96","340.57","330.43","","1.58%"
"01/11/2017","334.04","328.41","334.28","325.03","","1.79%"
"01/10/2017","328.16","321.62","328.39","321.21","","2.02%"
"01/09/2017","321.66","316.29","322.51","314.33","","1.78%"
"01/08/2017","316.03","315.58","317.89","310.39","","0.19%"
"01/07/2017","315.43","307.52","317.04","305.51","","2.62%"
"01/06/2017","307.38","306.65","310.75","305.98","","0.24%"
"01/05/2017","306.65","301.19","307.53","300.41","","1.88%"
"01/04/2017","300.99","296.91","302.48","293.63","","1.40%"
"01/03/2017","296.83","293.42","299.75","292.54","","0.97%"
"01/02/2017","293.97","286.10","295.96","285.97","","2.67%"
"01/01/2017","286.32","278.73","289.20","278.45","","2.64%"
"01/12/2016","278.96","273.47","282.93","271.76","","2.13%"
"01/11/2016","273.15","271.43","275.06","266.17","","0.59%"
"01/10/2016","271.54","276.20","276.99","269.16","","-1.72%"
"01/09/2016","276.28","275.32","280.65","270.41","","0.42%"
"01/08/2016","275.13","274.86","279.16","271.01","","0.10%"
"01/07/2016","274.86","263.60","275.14","259.30","","4.21%"
"01/06/2016","263.75","265.93","271.03","250.19","","-0.83%"
"01/05/2016","265.97","265.97","267.49","257.42","","-0.17%"
"01/04/2016","266.43","262.78","270.78","257.58","","1.28%"
"01/03/2016","263.07","245.28","264.44","245.27","","7.23%"
"01/02/2016","245.32","248.01","248.86","231.94","","-0.91%"
